# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	2087
#@/user_id	eb2c6107-ebb4-4c05-bd07-3d45f5d9a1d5
a 	啊	c=2 d=1.94649 t=2087
gun dong qu yu 	滾動區域	c=3 d=1.55526 t=2087
gun dong tiao 	滾動條	c=3 d=1.07337 t=2087
guo chang 	過長	c=2 d=0.99005 t=2087
guo cheng 	過程	c=2 d=1.45217 t=2087
guo cheng zhong 	過程中	c=2 d=0.970446 t=2087
guo du 	過度	c=1 d=0.408608 t=2087
guo ji 	國際	c=0 d=0.0733447 t=2087
guo ji hua 	國際化	c=2 d=1.45965 t=2087
hai 	還	c=3 d=1.14819 t=2087
hai chen 	海辰	c=1 d=1 t=2087
hai shi 	還是	c=2 d=1.81705 t=2087
hai wei chi 	還維持	c=1 d=0.782705 t=2087
hai xu yao 	還需要	c=6 d=2.88777 t=2087
hai yao 	還要	c=3 d=1.2774 t=2087
hai you 	還有	c=10 d=3.41995 t=2087
hang 	行	c=2 d=0.741344 t=2087
hao shi 	耗時	c=3 d=1.12336 t=2087
he 	和	c=16 d=4.8054 t=2087
hen chang 	很長	c=1 d=0.647265 t=2087
hen da 	很大	c=1 d=0.272532 t=2087
hong neng 	紅能	c=1 d=0.697676 t=2087
hou 	後	c=6 d=1.63129 t=2087
hou chu li 	後處理	c=1 d=0.336446 t=2087
hou chu li qi 	後處理器	c=1 d=0.358796 t=2087
hou duan 	後端	c=1 d=0.951229 t=2087
hou qi 	後期	c=1 d=0.66365 t=2087
hou tai 	後臺	c=0 d=0.0900325 t=2087
hou tai yun xing 	後臺運行	c=1 d=0.904837 t=2087
hou xuan 	候選	c=0 d=0.0985112 t=2087
hou xuan ce 	候選測	c=1 d=0.99005 t=2087
hua 	化	c=3 d=2.17748 t=2087
huan cun 	緩存	c=6 d=4.09309 t=2087
huan hang 	換行	c=2 d=1 t=2087
huan jing 	環境	c=1 d=0.970446 t=2087
huan jing xia 	環境下	c=1 d=0.856415 t=2087
hui 	回	c=1 d=0.782705 t=2087
hui 	會	c=7 d=2.58624 t=2087
hui da 	回答	c=1 d=0.99005 t=2087
hui dao 	回到	c=1 d=0.860708 t=2087
hui gun 	回滾	c=0 d=0.0937067 t=2087
hui gun zi ti 	回滾字體	c=1 d=0.941765 t=2087
hui jiang 	會將	c=1 d=0.588605 t=2087
hui shi 	會使	c=1 d=0.379083 t=2087
hui you shen me 	會有什麼	c=1 d=0.995012 t=2087
huo 	或	c=2 d=1 t=2087
huo de 	獲得	c=1 d=0.909373 t=2087
huo qu 	獲取	c=7 d=3.89881 t=2087
huo zhe 	或者	c=1 d=0.995012 t=2087
ji 	及	c=2 d=0.55739 t=2087
ji 	極	c=1 d=0.606531 t=2087
ji 	記	c=1 d=0.985112 t=2087
ji cheng 	繼承	c=0 d=0.0806541 t=2087
ji cheng guan xi 	繼承關係	c=1 d=0.810584 t=2087
ji chu shang 	基礎上	c=1 d=0.283654 t=2087
ji chu shang jin xing le 	基礎上進行了	c=1 d=0.694197 t=2087
ji huo 	激活	c=0 d=0.0995012 t=2087
ji huo fu wu qi 	激活服務器	c=1 d=1 t=2087
ji xu 	繼續	c=3 d=2.1757 t=2087
ji you 	既有	c=1 d=0.806541 t=2087
jia 	加	c=4 d=1.8562 t=2087
jia kuan 	加寬	c=1 d=0.822835 t=2087
jia ru 	加入	c=2 d=1.1956 t=2087
jia she 	假設	c=1 d=0.535261 t=2087
jia yi ge 	加一個	c=1 d=0.29671 t=2087
jia zai 	加載	c=5 d=1.76992 t=2087
jia zai hou 	加載後	c=1 d=0.856415 t=2087
jian 	件	c=2 d=1.38392 t=2087
jian 	鍵	c=8 d=6.03997 t=2087
jian 	間	c=2 d=0.843592 t=2087
jian bian 	漸變	c=2 d=0.996421 t=2087
jian cha 	檢查	c=0 d=0.0588605 t=2087
jian cha yi xie 	檢查一些	c=1 d=0.591555 t=2087
jian ge 	間隔	c=1 d=0.960789 t=2087
jian ju 	間距	c=3 d=1.1476 t=2087
jian kong 	監控	c=1 d=0.56836 t=2087
jian lve 	簡略	c=1 d=0.980199 t=2087
jian ming 	鍵名	c=1 d=0.50409 t=2087
jian ting 	監聽	c=1 d=0.715338 t=2087
jian yi 	建議	c=2 d=0.389651 t=2087
jiang 	將	c=9 d=3.93783 t=2087
jiao ben 	腳本	c=8 d=5.28007 t=2087
jiao dui 	校對	c=1 d=0.97531 t=2087
jiao huan 	交換	c=1 d=0.97531 t=2087
jie jue 	解決	c=3 d=1.81178 t=2087
jie kou 	接口	c=10 d=2.10918 t=2087
jie mian 	界面	c=9 d=1.87001 t=2087
jie mian she ji 	界面設計	c=1 d=0.715338 t=2087
jie qu 	截取	c=1 d=0.909373 t=2087
jie shu 	結束	c=2 d=1.46023 t=2087
jin du 	進度	c=2 d=1.07842 t=2087
jin du tiao 	進度條	c=2 d=1.43448 t=2087
jin liang 	儘量	c=2 d=1.44125 t=2087
jin xing 	進行	c=8 d=3.39812 t=2087
jin yi bu 	進一步	c=1 d=0.932394 t=2087
jing tai 	靜態	c=4 d=3.22868 t=2087
jing tai gong chang 	靜態工廠	c=1 d=0.818731 t=2087
jing tai zi yuan 	靜態資源	c=1 d=0.88692 t=2087
jing tai zi yuan de 	靜態資源的	c=1 d=0.774916 t=2087
jiu hui 	就會	c=2 d=1.39597 t=2087
jiu ke yi 	就可以	c=1 d=0.524663 t=2087
jiu shi 	就是	c=4 d=1.94553 t=2087
jiu zheng 	糾正	c=1 d=0.932394 t=2087
ju li 	距離	c=1 d=0.634448 t=2087
ju you 	具有	c=5 d=2.01314 t=2087
jue dui 	絕對	c=0 d=0.0818731 t=2087
ka pian 	卡片	c=4 d=2.10506 t=2087
ka zai 	卡在	c=1 d=0.67032 t=2087
kai fa 	開發	c=4 d=3.15955 t=2087
kai guan 	開關	c=4 d=1.9073 t=2087
kai yuan 	開源	c=1 d=1 t=2087
kao lv 	考慮	c=1 d=0.941765 t=2087
ke du 	刻度	c=1 d=0.532592 t=2087
ke neng 	可能	c=1 d=0.980199 t=2087
ke yi 	可以	c=23 d=5.88726 t=2087
ke yi gai jin 	可以改進	c=1 d=0.690734 t=2087
ke yi shan chu 	可以刪除	c=1 d=0.715338 t=2087
ken ding 	肯定	c=1 d=0.970446 t=2087
kong 	空	c=1 d=0.980199 t=2087
kong de 	空的	c=1 d=0.826959 t=2087
kong jian 	空間	c=2 d=0.983249 t=2087
kong zhi 	控制	c=1 d=0.873716 t=2087
kuai su 	快速	c=1 d=0.641332 t=2087
kuai su ru men 	快速入門	c=1 d=0.946485 t=2087
kuai su tian jia 	快速添加	c=1 d=0.436049 t=2087
kuan du 	寬度	c=2 d=1.04046 t=2087
kuang 	框	c=2 d=1.80155 t=2087
kuo zhan 	擴展	c=1 d=0.70822 t=2087
kuo zhong 	擴中	c=1 d=0.285076 t=2087
lai 	來	c=2 d=1.39397 t=2087
lai shuo 	來說	c=0 d=0.097531 t=2087
le 	了	c=15 d=5.45209 t=2087
lei 	類	c=3 d=1.17208 t=2087
lei ming 	類名	c=1 d=1.08966 t=2087
lei si 	類似	c=2 d=0.557106 t=2087
lei xing 	類型	c=3 d=2.32377 t=2087
li ru 	例如	c=1 d=0.71177 t=2087
li shi 	歷史	c=0 d=0.0704688 t=2087
li shi ji lu 	歷史記錄	c=1 d=0.349938 t=2087
lian xi 	聯繫	c=1 d=0.634448 t=2087
liang ge 	兩個	c=3 d=1.17963 t=2087
liang se 	亮色	c=3 d=1.21408 t=2087
liang zhong 	兩種	c=2 d=1.21928 t=2087
liao 	聊	c=0 d=0.0995012 t=2087
liao ning 	遼寧	c=2 d=1.98506 t=2087
liao xue feng 	聊學風	c=1 d=1 t=2087
lie chu 	列出	c=1 d=0.474734 t=2087
ling wai 	另外	c=12 d=3.32476 t=2087
liu lan qi 	瀏覽器	c=2 d=0.858095 t=2087
liu shi 	流式	c=2 d=1.98506 t=2087
lu jing 	路徑	c=6 d=3.19138 t=2087
lu jing hai shi jue dui lu jing 	路徑還是絕對路徑	c=1 d=0.822835 t=2087
lu xian 	路線	c=1 d=1 t=2087
ma 	嗎	c=2 d=1.71567 t=2087
ma 	碼	c=1 d=0.748264 t=2087
man zu 	滿足	c=1 d=0.740818 t=2087
mao 	貓	c=1 d=1 t=2087
mao bo li 	毛玻璃	c=3 d=1.58473 t=2087
mao bo li xiao guo 	毛玻璃效果	c=1 d=0.740818 t=2087
mei 	每	c=1 d=0.985112 t=2087
mei ci 	每次	c=1 d=0.516851 t=2087
mei guan 	美觀	c=1 d=0.559921 t=2087
mei hua 	美化	c=1 d=0.798516 t=2087
mei wen ti 	沒問題	c=1 d=0.97531 t=2087
mei you 	沒有	c=8 d=2.77707 t=2087
miao 	秒	c=1 d=0.965605 t=2087
ming 	名	c=0 d=0.0918512 t=2087
ming ling 	命令	c=6 d=4.50193 t=2087
ming ling hang 	命令行	c=1 d=1 t=2087
ming zi 	名字	c=3 d=2.65007 t=2087
mo ren 	默認	c=4 d=1.24913 t=2087
mo shi 	模式	c=2 d=1.05267 t=2087
na 	哪	c=1 d=0.995012 t=2087
na ge 	那個	c=0 d=0.0386741 t=2087
na li 	哪裏	c=1 d=0.923116 t=2087
na xie 	那些	c=2 d=1.69065 t=2087
nei 	內	c=3 d=1.09796 t=2087
nei rong 	內容	c=5 d=1.68904 t=2087
nei zhi 	內置	c=1 d=0.995012 t=2087
neng 	能	c=1 d=0.752014 t=2087
neng fou 	能否	c=1 d=0.895834 t=2087
ni ke yi 	你可以	c=1 d=0.818731 t=2087
pai lie 	排列	c=1 d=0.918512 t=2087
